,0,Z_Score
Tampa Bay Lightning,1609.242910551991,1.7515732551199654
Colorado Avalanche,1606.7530595165733,1.711651612051012
Vegas Golden Knights,1600.2144013096188,1.6068124167036713
Florida Panthers,1567.9240319947821,1.0890767851278667
Minnesota Wild,1559.9279500930018,0.9608696261082279
New York Islanders,1559.0087497152615,0.9461313992556969
Pittsburgh Penguins,1557.4624402201532,0.9213382630962506
Washington Capitals,1548.928860312171,0.784512996708489
Boston Bruins,1548.727668996742,0.7812871459371463
Carolina Hurricanes,1546.9018874856008,0.7520130260107503
Nashville Predators,1531.5703135084236,0.5061904385162858
Edmonton Oilers,1530.2248757323193,0.4846180287997689
Montreal Canadiens,1529.7703995119734,0.4773310717915425
Toronto Maple Leafs,1526.00808676005,0.4170070987266763
Winnipeg Jets,1500.0380103785164,0.000609448815400305
New York Rangers,1498.715885044762,-0.02058917508448859
Ottawa Senators,1485.2146014758716,-0.23706534813376068
Calgary Flames,1484.3230438497758,-0.2513603580833951
St. Louis Blues,1483.3817068222234,-0.2664535183917728
Dallas Stars,1466.818343153002,-0.5320263109074619
Philadelphia Flyers,1463.3306535314857,-0.5879470460136534
Chicago Blackhawks,1463.322354822,-0.5880801054269702
Arizona Coyotes,1461.711900378891,-0.6139017254926179
Vancouver Canucks,1457.6162512198628,-0.6795703303756248
Los Angeles Kings,1429.2862638608199,-1.1338061972639386
Detroit Red Wings,1428.8425676274337,-1.1409203106820978
San Jose Sharks,1422.9084570597367,-1.2360663417680784
New Jersey Devils,1419.6687935513312,-1.2880102887778997
Anaheim Ducks,1406.7583294986039,-1.4950134108265618
Columbus Blue Jackets,1404.5430125718567,-1.5305332432888996
Buffalo Sabres,1400.854189445165,-1.5896789022514195
